ID,Требование,Источник,Категория
NFR-REL-01,"Система должна продолжать работу при временной недоступности DMS (например, сервер упал, таймаут)","T1.14, US5.4",Обработка ошибок
NFR-REL-02,"При недоступности DMS система должна логировать ошибку и переходить к следующей накладной, не прерывая процесс сверки","T1.14, US5.4",Обработка ошибок
NFR-REL-03,"Система должна обрабатывать капчу, редиректы и смену сессии в CRM/DMS, повторяя попытку входа при необходимости","US4.4, T1.2",Стабильность Selenium
NFR-REL-04,При падении процесса в фоне (QThread) система должна корректно завершить поток и зафиксировать ошибку в логах,T1.4,Безопасность
NFR-REL-05,"Система должна поддерживать повторные попытки (retry) при сетевых ошибках (например, 502, 503) с экспоненциальной задержкой",T1.14,Надёжность
NFR-REL-06,Все операции и ошибки должны логироваться в файл logs/app.log с уровнем DEBUG,"US1.5, T1.6",Логирование
NFR-REL-07,"Логи должны содержать: дату, тип операции, входные данные, статус, сообщение об ошибке, XCRM GUID (если есть)",US1.5,Логирование
NFR-REL-08,Перед запуском процесса система должна проверять наличие обязательных полей и не начинать операцию при их отсутствии,"US1.11, T1.10",Защита от ошибок
NFR-REL-09,При перепривязке ESR система не должна удалять привязки к MRC", даже если они находятся в одной таблице","US3.2, T1.2",Целостность данных
NFR-REL-10,"После сбоя система должна продолжать обработку следующих элементов списка (накладных, ТТ)",T1.14,Восстановление
