ID,Тип,Задача,Приоритет,Описание
T1.1,Task,Реализовать dataclass TradePoint,Высокий,"Поля: owner, address, region_code, esr_code, point_type и др."
T1.2,Task,Реализовать POM для CRM,Высокий,"Страницы: вход, создание, редактирование ТТ"
T1.3,Task,Реализовать POM для DMS,Высокий,"Страницы: вход, выбор подсистемы, поиск накладной"
T1.4,Task,Настроить фоновый поток (QThread),Высокий,Без блокировки GUI
T1.6,Task,Реализовать логирование,Высокий,В logs/app.log", уровень DEBUG"
T1.11,Task,Реализовать GUI с вкладками,Высокий,"Вкладки: ""Создание ТТ"", ""Сверка"", ""AI-чат"""
US1.2,User Story,Автоматизация создания ТТ через Selenium,Высокий,Заполнение формы в CRM
US2.1–US2.7,User Story,Реализовать сверку накладных,Высокий,Загрузка → фильтрация → проверка → заливка
US1.4,User Story,Реализовать уведомления,Высокий,Всплывающее окно: успех/ошибка
US1.13,User Story,Реализовать экспорт отчёта,Высокий,"Excel с GUID, статусом, ошибкой"
